#Time	Parallel	Client
0497	1521	0108
0498	1397	0116
0499	1249	0189
0500	1372	0215
0501	1767	0204
0502	1746	0211
0503	1542	0206
0504	1517	0206
0505	1629	0215
0506	1606	0224
0507	1695	0221
0508	1767	0278
0509	1678	0123
0510	1513	0150
0511	1482	0196
0512	1117	0217
0513	1812	0222
0514	1634	0218
0515	1362	0218
0516	1383	0228
0517	1424	0227
0518	1424	0232
0519	1513	0243
0520	1477	0234
0521	1484	0232
0522	1367	0239
0523	1235	0236
0524	1110	0231
0525	1098	0242
0526	1196	0239
0527	1157	0233
0528	1250	0231
0529	1096	0234
0530	1144	0230
0531	1175	0237
0532	1246	0238
0533	1181	0233
0534	1146	0257
0535	1105	0231
0536	1277	0235
0537	1227	0232
0538	0945	0222
0539	1011	0214
0540	1059	0215
0541	0973	0236
0542	1342	0232
0543	1441	0237
0544	1485	0258
0545	1460	0255
0546	1495	0255
0547	1275	0251
0548	1175	0252
0549	1237	0251
0550	1237	0240
0551	1060	0246
0552	0996	0243
0553	1086	0243
0554	1314	0247
0555	1363	0246
0556	1217	0243
0557	1095	0245
0558	1227	0254
0559	1358	0262
0560	1482	0245
0561	1378	0247
0562	0861	0239
0563	0844	0244
0564	0930	0243
0565	0955	0259
0566	1081	0269
0567	1190	0273
0568	1087	0285
0569	1150	0272
0570	1367	0277
0571	0758	0266
0572	0561	0284
0573	1031	0288
0574	0816	0286
0575	1067	0284
0576	1041	0285
0577	0950	0286
0578	0433	0284
0579	0900	0286
0580	0940	0288
0581	0376	0288
0582	0382	0292
0583	0549	0290
0584	0467	0290
0585	0366	0292
0586	0596	0295
0587	0596	0282
0588	0323	0275
0589	0596	0272
0590	0000	0000
0591	0000	0000
0592	0000	0000
0593	0000	0000
0594	0000	0000
0595	0000	0000
0596	0000	0000
0597	0000	0000
0598	0000	0000
0599	0000	0000
0600	0000	0000
0601	0000	0000
0602	0000	0000
0603	0000	0000
0604	0000	0000
0605	0000	0000
0606	0000	0000
0607	1918	0000
0608	1784	0000
0609	1830	0000
0610	1843	0000
0611	1785	0000
0612	1657	0000
0613	1875	0000
0614	1921	0000
0615	1980	0000
0616	2010	0000
0617	2062	0000
0618	1974	0000
0619	1875	0000
0620	2041	0000
0621	1997	0000
0622	1895	0000
0623	1912	0000
0624	1972	0000
0625	1928	0000
0626	1980	0000
0627	2039	0000
0628	1950	0000
0629	1938	0000
0630	2174	0000
0631	2078	0000
0632	2129	0000
0633	2216	0000
0634	2171	0000
0635	2069	0000
